Forest,Managed.Status,Trout.Status,Year,Stream.Length.km,Beaver.Colonies,Colonies.per.km,Prop.Aspen,Prop.Mixed.Aspen,Prop.Hardwoods,Prop.Conifers,Prop.Shrubs,Prop.Open,Prop.Non.Forest,Prop.All.Aspen,Dev.30yr.Mean Max.May.0,Dev.30yr.Mean Max.May.1,Dev.30yr.Mean Max.May.2,Dev.30yr.Mean Max.May.3,Dev.30.yr.PRISM.winter.DM.zero.days.0,Dev.30.yr.PRISM.winter.DM.zero.days.1,Dev.30.yr.PRISM.winter.DM.zero.days.2,PDSI.May.0,PDSI.June.July.0,PDSI.Aug.Sept.0,PDSI.May.Sept.0,PDSI.Aug.Oct.0,PDSI.May.1,PDSI.June.July.1,Drought.June.July.1,PDSI.Aug.Sept.1,PDSI.May.Sept.1,PDSI.Aug.Oct.1,PDSI.May.2,PDSI.June.July.2,PDSI.Aug.Sept.2,PDSI.May.Sept.2,PDSI.Aug.Oct.2,PDSI.May.3,PDSI.June.July.3,PDSI.Aug.Sept.3,PDSI.May.Sept.3,PDSI.Aug.Oct.3,COOP.winter.DM.cum.snow.mm.0,COOP.winter.DM.cum.snow.mm.1,COOP.winter.DM.cum.snow.mm.2,Dev.30yr.COOP.winter.DM.cum.snow.mm.0,Dev.30yr.COOP.winter.DM.cum.snow.mm.1,Dev.30yr.COOP.winter.DM.cum.snow.mm.2
Nicolet,Managed,Trout,1997,825.9932405,67,0.081114465,0.169565175,0.037728881,0.198207426,0.330154438,0.100604051,0.139525246,0.024214783,0.207294055,-4.63,-2.31,-0.77,1.25,-0.84,23.16,-5.84,0.33,0.16,0.79,0.44,0.82,1.91,3.57,0,2.91,2.97,2.89,0.49,-1.16,0.67,-0.1,1.03,-0.6,-0.24,0.87,0.13,1.04,2814.67,2277.33,1165.33,1241.71,704.38,-407.62
Nicolet,Managed,Trout,1998,825.9932405,36,0.043583892,0.169814639,0.038000832,0.198041319,0.329799129,0.100604051,0.139525246,0.024214783,0.207815472,4.4,-4.63,-2.31,-0.77,-24.84,-0.84,23.16,-1.17,-0.19,-1.6,-0.95,-1.72,0.33,0.16,0,0.79,0.44,0.82,1.91,3.57,2.91,2.97,2.89,0.49,-1.16,0.67,-0.1,1.03,1733.33,2814.67,2277.33,160.38,1241.71,704.38
Nicolet,Managed,Trout,1999,825.9932405,34,0.041162564,0.169979114,0.038000832,0.198041319,0.329634654,0.100604051,0.139525246,0.024214783,0.207979946,1.43,4.4,-4.63,-2.31,-2.84,-24.84,-0.84,0.46,1.68,-0.5,0.56,-0.73,-1.17,-0.19,0,-1.6,-0.95,-1.72,0.33,0.16,0.79,0.44,0.82,1.91,3.57,2.91,2.97,2.89,1840.67,1733.33,2814.67,267.71,160.38,1241.71
Nicolet,Managed,Trout,2000,825.9932405,42,0.050847874,0.169950264,0.038029682,0.198041319,0.329634654,0.100604051,0.139525246,0.024214783,0.207979946,1.04,1.43,4.4,-4.63,-0.84,-2.84,-24.84,-0.3,1.45,2.06,1.34,1.12,0.46,1.68,0,-0.5,0.56,-0.73,-1.17,-0.19,-1.6,-0.95,-1.72,0.33,0.16,0.79,0.44,0.82,1589.67,1840.67,1733.33,16.71,267.71,160.38
Nicolet,Managed,Trout,2001,825.9932405,35,0.042373228,0.169750577,0.038141513,0.198293104,0.329470725,0.100604051,0.139525246,0.024214783,0.20789209,0.88,1.04,1.43,4.4,6.16,-0.84,-2.84,0.63,0.54,0.47,0.53,0.48,-0.3,1.45,0,2.06,1.34,1.12,0.46,1.68,-0.5,0.56,-0.73,-1.17,-0.19,-1.6,-0.95,-1.72,1643,1589.67,1840.67,70.04,16.71,267.71
Nicolet,Managed,Trout,2002,825.9932405,29,0.035109246,0.169757446,0.038256331,0.198319376,0.329322766,0.100604051,0.139525246,0.024214783,0.208013778,-3.6,0.88,1.04,1.43,-25.84,6.16,-0.84,2.23,2.57,2.58,2.51,2.98,0.63,0.54,0,0.47,0.53,0.48,-0.3,1.45,2.06,1.34,1.12,0.46,1.68,-0.5,0.56,-0.73,1618.67,1643,1589.67,45.71,70.04,16.71
Nicolet,Managed,Trout,2003,825.9932405,30,0.03631991,0.169796988,0.038257524,0.198319376,0.329282032,0.100604051,0.139525246,0.024214783,0.208054512,-0.95,-3.6,0.88,1.04,14.16,-25.84,6.16,2.18,1.78,1.55,1.76,1.4,2.23,2.57,0,2.58,2.51,2.98,0.63,0.54,0.47,0.53,0.48,-0.3,1.45,2.06,1.34,1.12,1207,1618.67,1643,-365.96,45.71,70.04
Nicolet,Managed,Trout,2004,825.9932405,32,0.038741237,0.169982958,0.038322516,0.198319376,0.329096061,0.100539059,0.139525246,0.024214783,0.208305474,-2.42,-0.95,-3.6,0.88,-3.84,14.16,-25.84,3.02,1.56,-0.82,0.9,-0.17,2.18,1.78,0,1.55,1.76,1.4,2.23,2.57,2.58,2.51,2.98,0.63,0.54,0.47,0.53,0.48,2419,1207,1618.67,846.04,-365.96,45.71
Nicolet,Managed,Trout,2005,825.9932405,28,0.033898582,0.170082207,0.038322516,0.198220128,0.329096061,0.100539059,0.139525246,0.024214783,0.208404723,-2.39,-2.42,-0.95,-3.6,4.16,-3.84,14.16,-0.95,-1.44,-1.81,-1.49,-1.03,3.02,1.56,0,-0.82,0.9,-0.17,2.18,1.78,1.55,1.76,1.4,2.23,2.57,2.58,2.51,2.98,1976.67,2419,1207,403.71,846.04,-365.96
Nicolet,Managed,Trout,2006,825.9932405,25,0.030266592,0.170871415,0.038322516,0.200531717,0.325995264,0.100539059,0.139525246,0.024214783,0.209193931,-0.52,-2.39,-2.42,-0.95,-19.84,4.16,-3.84,0.86,-0.19,0.66,0.36,0.74,-0.95,-1.44,0,-1.81,-1.49,-1.03,3.02,1.56,-0.82,0.9,-0.17,2.18,1.78,1.55,1.76,1.4,2132,1976.67,2419,559.04,403.71,846.04
Nicolet,Managed,Trout,2007,825.9932405,17,0.020581282,0.171326008,0.038411439,0.200600635,0.325382829,0.100539059,0.139525246,0.024214783,0.209737447,2.04,-0.52,-2.39,-2.42,-5.84,-19.84,4.16,-1.03,-1.27,-2.26,-1.61,-1.15,0.86,-0.19,0,0.66,0.36,0.74,-0.95,-1.44,-1.81,-1.49,-1.03,3.02,1.56,-0.82,0.9,-0.17,1321,2132,1976.67,-251.96,559.04,403.71
Nicolet,Managed,Trout,2008,825.9932405,23,0.027845264,0.172250931,0.038411439,0.20062338,0.324435161,0.100539059,0.139525246,0.024214783,0.21066237,-1.76,2.04,-0.52,-2.39,11.16,-5.84,-19.84,1.43,1.48,-1.54,0.26,-1.76,-1.03,-1.27,0,-2.26,-1.61,-1.15,0.86,-0.19,0.66,0.36,0.74,-0.95,-1.44,-1.81,-1.49,-1.03,1555.67,1321,2132,-17.29,-251.96,559.04
Nicolet,Managed,Trout,2009,825.9932405,13,0.015738628,0.172685726,0.038411439,0.200233423,0.324390323,0.100539059,0.139525246,0.024214783,0.211097165,-0.89,-1.76,2.04,-0.52,25.16,11.16,-5.84,-0.58,-1.52,-2.09,-1.56,-0.88,1.43,1.48,0,-1.54,0.26,-1.76,-1.03,-1.27,-2.26,-1.61,-1.15,0.86,-0.19,0.66,0.36,0.74,1425.67,1555.67,1321,-147.29,-17.29,-251.96
Nicolet,Managed,Trout,2010,825.9932405,14,0.016949291,0.172685726,0.038411439,0.20007037,0.324553376,0.100539059,0.139525246,0.024214783,0.211097165,2.07,-0.89,-1.76,2.04,-16.84,25.16,11.16,-2.4,2.03,2.79,1.44,3.01,-0.58,-1.52,0,-2.09,-1.56,-0.88,1.43,1.48,-1.54,0.26,-1.76,-1.03,-1.27,-2.26,-1.61,-1.15,1179.33,1425.67,1555.67,-393.62,-147.29,-17.29
Nicolet,Managed,Trout,2011,825.9932405,11,0.0133173,0.172685726,0.038411439,0.199918192,0.324705554,0.100539059,0.139525246,0.024214783,0.211097165,-1.81,2.07,-0.89,-1.76,-0.84,-16.84,25.16,1.9,1.05,-0.58,0.57,-0.68,-2.4,2.03,0,2.79,1.44,3.01,-0.58,-1.52,-2.09,-1.56,-0.88,1.43,1.48,-1.54,0.26,-1.76,1719,1179.33,1425.67,146.04,-393.62,-147.29
Nicolet,Managed,Trout,2012,825.9932405,22,0.026634601,0.172685726,0.038411439,0.199918192,0.324705554,0.100539059,0.139525246,0.024214783,0.211097165,2.51,-1.81,2.07,-0.89,-20.84,-0.84,-16.84,-2.09,-1.62,-2,-1.86,-1.03,1.9,1.05,0,-0.58,0.57,-0.68,-2.4,2.03,2.79,1.44,3.01,-0.58,-1.52,-2.09,-1.56,-0.88,1362.33,1719,1179.33,-210.62,146.04,-393.62
Nicolet,Managed,Trout,2013,825.9932405,22,0.026634601,0.172685726,0.038411439,0.199918192,0.324705554,0.100539059,0.139525246,0.024214783,0.211097165,-0.02,2.51,-1.81,2.07,-4.84,-20.84,-0.84,1.48,1.86,1.99,1.84,1.99,-2.09,-1.62,0,-2,-1.86,-1.03,1.9,1.05,-0.58,0.57,-0.68,-2.4,2.03,2.79,1.44,3.01,1518.33,1362.33,1719,-54.62,-210.62,146.04
Nicolet,NonManaged,Trout,1987,752.9868466,149,0.197878623,0.180878153,0.033363889,0.264926933,0.275886443,0.089048927,0.124457213,0.031438441,0.214242042,2.12,2.38,1.87,-1.85,-15.84,0.16,14.16,-1.81,-2.61,-2.77,-2.51,-2.65,1.89,1.76,0,1.96,1.87,2.26,2.15,1.94,3.31,2.53,3.55,1.47,1.49,1.47,1.48,1.86,891.33,1582,1881.67,-681.62,9.04,308.71
Nicolet,NonManaged,Trout,1988,752.9868466,175,0.232407778,0.181630213,0.03306877,0.264850565,0.275388654,0.089048927,0.12457443,0.031438441,0.214698983,4.41,2.12,2.38,1.87,9.16,-15.84,0.16,-2.26,-3.36,-3.39,-3.15,-3.28,-1.81,-2.61,0,-2.77,-2.51,-2.65,1.89,1.76,1.96,1.87,2.26,2.15,1.94,3.31,2.53,3.55,1446,891.33,1582,-126.96,-681.62,9.04
Nicolet,NonManaged,Trout,1989,752.9868466,148,0.196550578,0.181761825,0.033344872,0.264679964,0.275126396,0.089048927,0.124599573,0.031438441,0.215106698,0.31,4.41,2.12,2.38,15.16,9.16,-15.84,-1.35,-1.73,-2.87,-2.11,-2.88,-2.26,-3.36,1,-3.39,-3.15,-3.28,-1.81,-2.61,-2.77,-2.51,-2.65,1.89,1.76,1.96,1.87,2.26,1666.33,1446,891.33,93.38,-126.96,-681.62
Nicolet,NonManaged,Trout,1990,752.9868466,137,0.181942089,0.181833822,0.033461744,0.265036626,0.274395336,0.089048927,0.124785103,0.031438441,0.215295566,-1.7,0.31,4.41,2.12,6.16,15.16,9.16,0.89,2.24,2.6,2.11,2.69,-1.35,-1.73,0,-2.87,-2.11,-2.88,-2.26,-3.36,-3.39,-3.15,-3.28,-1.81,-2.61,-2.77,-2.51,-2.65,1229.67,1666.33,1446,-343.29,93.38,-126.96
Nicolet,NonManaged,Trout,1991,752.9868466,164,0.217799289,0.181873145,0.033575633,0.265036626,0.274194677,0.089048927,0.124832551,0.031438441,0.215448778,1.8,-1.7,0.31,4.41,8.16,6.16,15.16,2.93,2.59,2.09,2.46,2.33,0.89,2.24,0,2.6,2.11,2.69,-1.35,-1.73,-2.87,-2.11,-2.88,-2.26,-3.36,-3.39,-3.15,-3.28,1155,1229.67,1666.33,-417.96,-343.29,93.38
Nicolet,NonManaged,Trout,1992,752.9868466,179,0.237719956,0.182843138,0.033629574,0.265306709,0.27290066,0.089048927,0.124832551,0.031438441,0.216472712,1.64,1.8,-1.7,0.31,-1.84,8.16,6.16,2.73,1.71,1.87,1.98,1.88,2.93,2.59,0,2.09,2.46,2.33,0.89,2.24,2.6,2.11,2.69,-1.35,-1.73,-2.87,-2.11,-2.88,1306.33,1155,1229.67,-266.62,-417.96,-343.29
Nicolet,NonManaged,Trout,1993,752.9868466,185,0.245688223,0.182843138,0.033629574,0.265306709,0.27290066,0.089048927,0.124832551,0.031438441,0.216472712,-1.02,1.64,1.8,-1.7,8.16,-1.84,8.16,3.14,4.21,3.69,3.79,3.61,2.73,1.71,0,1.87,1.98,1.88,2.93,2.59,2.09,2.46,2.33,0.89,2.24,2.6,2.11,2.69,1065.33,1306.33,1155,-507.62,-266.62,-417.96
Nicolet,NonManaged,Trout,1994,752.9868466,105,0.139444667,0.181723866,0.033629574,0.265069254,0.274257387,0.089048927,0.124832551,0.031438441,0.21535344,1.25,-1.02,1.64,1.8,11.16,8.16,-1.84,-0.6,-0.24,0.87,0.13,1.04,3.14,4.21,0,3.69,3.79,3.61,2.73,1.71,1.87,1.98,1.88,2.93,2.59,2.09,2.46,2.33,1556.33,1065.33,1306.33,-16.62,-507.62,-266.62
Nicolet,NonManaged,Trout,1995,752.9868466,120,0.159365334,0.181726846,0.033629574,0.265069254,0.274254407,0.089048927,0.124832551,0.031438441,0.21535642,-0.77,1.25,-1.02,1.64,-5.84,11.16,8.16,0.49,-1.16,0.67,-0.1,1.03,-0.6,-0.24,0,0.87,0.13,1.04,3.14,4.21,3.69,3.79,3.61,2.73,1.71,1.87,1.98,1.88,1165.33,1556.33,1065.33,-407.62,-16.62,-507.62
Nicolet,NonManaged,Trout,1996,752.9868466,66,0.087650933,0.181667559,0.033629574,0.265069254,0.274313694,0.089048927,0.124832551,0.031438441,0.215297133,-2.31,-0.77,1.25,-1.02,23.16,-5.84,11.16,1.91,3.57,2.91,2.97,2.89,0.49,-1.16,0,0.67,-0.1,1.03,-0.6,-0.24,0.87,0.13,1.04,3.14,4.21,3.69,3.79,3.61,2277.33,1165.33,1556.33,704.38,-407.62,-16.62
Nicolet,NonManaged,Trout,1997,752.9868466,90,0.119524,0.181718595,0.033629574,0.265069254,0.274262658,0.089048927,0.124832551,0.031438441,0.215348169,-4.63,-2.31,-0.77,1.25,-0.84,23.16,-5.84,0.33,0.16,0.79,0.44,0.82,1.91,3.57,0,2.91,2.97,2.89,0.49,-1.16,0.67,-0.1,1.03,-0.6,-0.24,0.87,0.13,1.04,2814.67,2277.33,1165.33,1241.71,704.38,-407.62
Nicolet,NonManaged,Trout,1998,752.9868466,81,0.1075716,0.181718595,0.033629574,0.265069254,0.274262658,0.089048927,0.124832551,0.031438441,0.215348169,4.4,-4.63,-2.31,-0.77,-24.84,-0.84,23.16,-1.17,-0.19,-1.6,-0.95,-1.72,0.33,0.16,0,0.79,0.44,0.82,1.91,3.57,2.91,2.97,2.89,0.49,-1.16,0.67,-0.1,1.03,1733.33,2814.67,2277.33,160.38,1241.71,704.38
Nicolet,NonManaged,Trout,1999,752.9868466,76,0.100931378,0.181733844,0.033629574,0.265069254,0.274247409,0.089048927,0.124832551,0.031438441,0.215363418,1.43,4.4,-4.63,-2.31,-2.84,-24.84,-0.84,0.46,1.68,-0.5,0.56,-0.73,-1.17,-0.19,0,-1.6,-0.95,-1.72,0.33,0.16,0.79,0.44,0.82,1.91,3.57,2.91,2.97,2.89,1840.67,1733.33,2814.67,267.71,160.38,1241.71
Nicolet,NonManaged,Trout,2000,752.9868466,93,0.123508134,0.181733844,0.033629574,0.265069254,0.274247409,0.089048927,0.124832551,0.031438441,0.215363418,1.04,1.43,4.4,-4.63,-0.84,-2.84,-24.84,-0.3,1.45,2.06,1.34,1.12,0.46,1.68,0,-0.5,0.56,-0.73,-1.17,-0.19,-1.6,-0.95,-1.72,0.33,0.16,0.79,0.44,0.82,1589.67,1840.67,1733.33,16.71,267.71,160.38
Nicolet,NonManaged,Trout,2001,752.9868466,25,0.033201111,0.182056971,0.033629574,0.264746127,0.274247409,0.089048927,0.124832551,0.031438441,0.215686545,0.88,1.04,1.43,4.4,6.16,-0.84,-2.84,0.63,0.54,0.47,0.53,0.48,-0.3,1.45,0,2.06,1.34,1.12,0.46,1.68,-0.5,0.56,-0.73,-1.17,-0.19,-1.6,-0.95,-1.72,1643,1589.67,1840.67,70.04,16.71,267.71
Nicolet,NonManaged,Trout,2002,752.9868466,49,0.065074178,0.181798213,0.033629574,0.265043981,0.274208313,0.089048927,0.124832551,0.031438441,0.215427787,-3.6,0.88,1.04,1.43,-25.84,6.16,-0.84,2.23,2.57,2.58,2.51,2.98,0.63,0.54,0,0.47,0.53,0.48,-0.3,1.45,2.06,1.34,1.12,0.46,1.68,-0.5,0.56,-0.73,1618.67,1643,1589.67,45.71,70.04,16.71
Nicolet,NonManaged,Trout,2003,752.9868466,73,0.096947245,0.18193064,0.033629574,0.264878952,0.274240915,0.089048927,0.124832551,0.031438441,0.215560214,-0.95,-3.6,0.88,1.04,14.16,-25.84,6.16,2.18,1.78,1.55,1.76,1.4,2.23,2.57,0,2.58,2.51,2.98,0.63,0.54,0.47,0.53,0.48,-0.3,1.45,2.06,1.34,1.12,1207,1618.67,1643,-365.96,45.71,70.04
Nicolet,NonManaged,Trout,2004,752.9868466,59,0.078354622,0.182019886,0.033629263,0.264878558,0.274148262,0.089050124,0.124834599,0.031439308,0.21564915,-2.42,-0.95,-3.6,0.88,-3.84,14.16,-25.84,3.02,1.56,-0.82,0.9,-0.17,2.18,1.78,0,1.55,1.76,1.4,2.23,2.57,2.58,2.51,2.98,0.63,0.54,0.47,0.53,0.48,2419,1207,1618.67,846.04,-365.96,45.71
Nicolet,NonManaged,Trout,2005,752.9868466,62,0.082338756,0.182111216,0.033629263,0.264824359,0.274111131,0.089050124,0.124834599,0.031439308,0.21574048,-2.39,-2.42,-0.95,-3.6,4.16,-3.84,14.16,-0.95,-1.44,-1.81,-1.49,-1.03,3.02,1.56,0,-0.82,0.9,-0.17,2.18,1.78,1.55,1.76,1.4,2.23,2.57,2.58,2.51,2.98,1976.67,2419,1207,403.71,846.04,-365.96
Nicolet,NonManaged,Trout,2006,752.9868466,56,0.074370489,0.18270254,0.033629263,0.265306276,0.27303789,0.089050124,0.124834599,0.031439308,0.216331804,-0.52,-2.39,-2.42,-0.95,-19.84,4.16,-3.84,0.86,-0.19,0.66,0.36,0.74,-0.95,-1.44,0,-1.81,-1.49,-1.03,3.02,1.56,-0.82,0.9,-0.17,2.18,1.78,1.55,1.76,1.4,2132,1976.67,2419,559.04,403.71,846.04
Nicolet,NonManaged,Trout,2007,752.9868466,59,0.078354622,0.18270254,0.033629263,0.265306276,0.27303789,0.089050124,0.124834599,0.031439308,0.216331804,2.04,-0.52,-2.39,-2.42,-5.84,-19.84,4.16,-1.03,-1.27,-2.26,-1.61,-1.15,0.86,-0.19,0,0.66,0.36,0.74,-0.95,-1.44,-1.81,-1.49,-1.03,3.02,1.56,-0.82,0.9,-0.17,1321,2132,1976.67,-251.96,559.04,403.71
Nicolet,NonManaged,Trout,2008,752.9868466,48,0.063746133,0.182841729,0.033629263,0.265306276,0.272898701,0.089050124,0.124834599,0.031439308,0.216470993,-1.76,2.04,-0.52,-2.39,11.16,-5.84,-19.84,1.43,1.48,-1.54,0.26,-1.76,-1.03,-1.27,0,-2.26,-1.61,-1.15,0.86,-0.19,0.66,0.36,0.74,-0.95,-1.44,-1.81,-1.49,-1.03,1555.67,1321,2132,-17.29,-251.96,559.04
Nicolet,NonManaged,Trout,2009,752.9868466,33,0.043825467,0.182841729,0.033629263,0.265306276,0.272898701,0.089050124,0.124834599,0.031439308,0.216470993,-0.89,-1.76,2.04,-0.52,25.16,11.16,-5.84,-0.58,-1.52,-2.09,-1.56,-0.88,1.43,1.48,0,-1.54,0.26,-1.76,-1.03,-1.27,-2.26,-1.61,-1.15,0.86,-0.19,0.66,0.36,0.74,1425.67,1555.67,1321,-147.29,-17.29,-251.96
Nicolet,NonManaged,Trout,2010,752.9868466,41,0.054449822,0.182841729,0.033629263,0.265306276,0.272898701,0.089050124,0.124834599,0.031439308,0.216470993,2.07,-0.89,-1.76,2.04,-16.84,25.16,11.16,-2.4,2.03,2.79,1.44,3.01,-0.58,-1.52,0,-2.09,-1.56,-0.88,1.43,1.48,-1.54,0.26,-1.76,-1.03,-1.27,-2.26,-1.61,-1.15,1179.33,1425.67,1555.67,-393.62,-147.29,-17.29
Nicolet,NonManaged,Trout,2011,752.9868466,39,0.051793733,0.182841729,0.033629263,0.265306276,0.272898701,0.089050124,0.124834599,0.031439308,0.216470993,-1.81,2.07,-0.89,-1.76,-0.84,-16.84,25.16,1.9,1.05,-0.58,0.57,-0.68,-2.4,2.03,0,2.79,1.44,3.01,-0.58,-1.52,-2.09,-1.56,-0.88,1.43,1.48,-1.54,0.26,-1.76,1719,1179.33,1425.67,146.04,-393.62,-147.29
Nicolet,NonManaged,Trout,2012,752.9868466,56,0.074370489,0.182841729,0.033827974,0.265107566,0.272898701,0.089050124,0.124834599,0.031439308,0.216669703,2.51,-1.81,2.07,-0.89,-20.84,-0.84,-16.84,-2.09,-1.62,-2,-1.86,-1.03,1.9,1.05,0,-0.58,0.57,-0.68,-2.4,2.03,2.79,1.44,3.01,-0.58,-1.52,-2.09,-1.56,-0.88,1362.33,1719,1179.33,-210.62,146.04,-393.62
Nicolet,NonManaged,Trout,2013,752.9868466,40,0.053121778,0.182841729,0.033827974,0.265107566,0.272898701,0.089050124,0.124834599,0.031439308,0.216669703,-0.02,2.51,-1.81,2.07,-4.84,-20.84,-0.84,1.48,1.86,1.99,1.84,1.99,-2.09,-1.62,0,-2,-1.86,-1.03,1.9,1.05,-0.58,0.57,-0.68,-2.4,2.03,2.79,1.44,3.01,1518.33,1362.33,1719,-54.62,-210.62,146.04
Nicolet,NonManaged,NonTrout,1987,285.7520052,60,0.20997228,0.151675728,0.02415193,0.254997064,0.300893385,0.089172824,0.133023318,0.046085751,0.175827658,2.12,2.38,1.87,-1.85,-15.84,0.16,14.16,-1.81,-2.61,-2.77,-2.51,-2.65,1.89,1.76,0,1.96,1.87,2.26,2.15,1.94,3.31,2.53,3.55,1.47,1.49,1.47,1.48,1.86,891.33,1582,1881.67,-681.62,9.04,308.71
